workload,run,real_sec,user_sec,sys_sec
sequential,1,0.1780,0.0030,0.0200
sequential,2,0.1830,0.0040,0.0210
sequential,3,0.2000,0.0040,0.0190
sequential,4,0.1820,0.0040,0.0220
sequential,5,0.1830,0.0040,0.0190
sequential,6,0.1790,0.0030,0.0200
sequential,7,0.1840,0.0040,0.0210
sequential,8,0.1760,0.0030,0.0200
sequential,9,0.1810,0.0040,0.0210
sequential,10,0.1860,0.0030,0.0210
sequential,11,0.1850,0.0040,0.0210
sequential,12,0.1830,0.0040,0.0210
sequential,13,0.1810,0.0040,0.0210
sequential,14,0.1800,0.0040,0.0210
sequential,15,0.1840,0.0040,0.0210
sequential,16,0.1840,0.0040,0.0210
sequential,17,0.1580,0.0020,0.0160
sequential,18,0.1790,0.0040,0.0210
sequential,19,0.1770,0.0030,0.0200
sequential,20,0.1880,0.0040,0.0190
random,1,0.0470,0.0130,0.0250
random,2,0.0460,0.0130,0.0240
random,3,0.0510,0.0140,0.0260
random,4,0.0500,0.0140,0.0260
random,5,0.0500,0.0140,0.0260
random,6,0.0460,0.0130,0.0240
random,7,0.0490,0.0140,0.0250
random,8,0.0470,0.0130,0.0240
random,9,0.0490,0.0140,0.0250
random,10,0.0500,0.0140,0.0260
random,11,0.0500,0.0140,0.0260
random,12,0.0500,0.0140,0.0260
random,13,0.0500,0.0140,0.0260
random,14,0.0500,0.0140,0.0260
random,15,0.0350,0.0100,0.0180
random,16,0.0510,0.0140,0.0260
random,17,0.0490,0.0140,0.0260
random,18,0.0470,0.0130,0.0240
random,19,0.0460,0.0130,0.0230
random,20,0.0500,0.0140,0.0250
phase_change,1,0.3390,0.0080,0.0410
phase_change,2,0.3540,0.0080,0.0420
phase_change,3,0.3420,0.0080,0.0410
phase_change,4,0.3450,0.0080,0.0420
phase_change,5,0.3450,0.0080,0.0420
phase_change,6,0.3510,0.0090,0.0420
phase_change,7,0.3500,0.0090,0.0420
phase_change,8,0.3310,0.0070,0.0380
phase_change,9,0.3580,0.0080,0.0380
phase_change,10,0.3520,0.0090,0.0420
phase_change,11,0.3540,0.0090,0.0430
phase_change,12,0.3470,0.0090,0.0420
phase_change,13,0.3520,0.0080,0.0420
phase_change,14,0.3460,0.0080,0.0420
phase_change,15,0.3530,0.0090,0.0420
phase_change,16,0.3470,0.0090,0.0420
phase_change,17,0.3520,0.0090,0.0430
phase_change,18,0.3420,0.0080,0.0420
phase_change,19,0.3330,0.0070,0.0390
phase_change,20,0.3490,0.0080,0.0420
sqlite_workload,1,0.0310,0.0050,0.0080
sqlite_workload,2,0.0320,0.0060,0.0080
sqlite_workload,3,0.0320,0.0060,0.0070
sqlite_workload,4,0.0390,0.0050,0.0070
sqlite_workload,5,0.0400,0.0060,0.0080
sqlite_workload,6,0.0320,0.0060,0.0080
sqlite_workload,7,0.0260,0.0050,0.0080
sqlite_workload,8,0.0280,0.0050,0.0080
sqlite_workload,9,0.0330,0.0060,0.0080
sqlite_workload,10,0.0340,0.0060,0.0090
sqlite_workload,11,0.0300,0.0060,0.0080
sqlite_workload,12,0.0430,0.0070,0.0100
sqlite_workload,13,0.0310,0.0060,0.0080
sqlite_workload,14,0.0290,0.0050,0.0080
sqlite_workload,15,0.0180,0.0030,0.0040
sqlite_workload,16,0.0300,0.0050,0.0070
sqlite_workload,17,0.0290,0.0060,0.0070
sqlite_workload,18,0.0310,0.0060,0.0080
sqlite_workload,19,0.0290,0.0050,0.0080
sqlite_workload,20,0.0320,0.0060,0.0080
tar_workload,1,0.0650,0.0090,0.0470
tar_workload,2,0.0680,0.0090,0.0500
tar_workload,3,0.0680,0.0100,0.0490
tar_workload,4,0.0630,0.0090,0.0460
tar_workload,5,0.0680,0.0100,0.0500
tar_workload,6,0.0680,0.0100,0.0500
tar_workload,7,0.0690,0.0100,0.0500
tar_workload,8,0.0680,0.0100,0.0490
tar_workload,9,0.0670,0.0100,0.0490
tar_workload,10,0.0680,0.0090,0.0490
tar_workload,11,0.0700,0.0100,0.0510
tar_workload,12,0.0680,0.0100,0.0490
tar_workload,13,0.0870,0.0100,0.0550
tar_workload,14,0.0680,0.0100,0.0500
tar_workload,15,0.0660,0.0080,0.0490
tar_workload,16,0.0710,0.0100,0.0530
tar_workload,17,0.0740,0.0100,0.0560
tar_workload,18,0.0720,0.0100,0.0540
tar_workload,19,0.0690,0.0090,0.0520
tar_workload,20,0.0730,0.0100,0.0550
python_import,1,0.0940,0.0070,0.0220
python_import,2,0.0710,0.0070,0.0200
python_import,3,0.0720,0.0070,0.0200
python_import,4,0.0740,0.0070,0.0200
python_import,5,0.0690,0.0070,0.0190
python_import,6,0.0710,0.0070,0.0190
python_import,7,0.0580,0.0040,0.0130
python_import,8,0.0750,0.0070,0.0210
python_import,9,0.0750,0.0070,0.0210
python_import,10,0.0750,0.0070,0.0210
python_import,11,0.0760,0.0070,0.0210
python_import,12,0.0750,0.0070,0.0210
python_import,13,0.0700,0.0070,0.0190
python_import,14,0.0680,0.0070,0.0180
python_import,15,0.0740,0.0070,0.0200
python_import,16,0.0750,0.0070,0.0210
python_import,17,0.0680,0.0070,0.0220
python_import,18,0.0790,0.0070,0.0220
python_import,19,0.0700,0.0060,0.0190
python_import,20,0.0790,0.0080,0.0220
