run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
144,144_baseline_random_run04,baseline,random,1773854736.416281,/big.txt,20480,4096,unknown,0.0000,1,24576,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.4213288,/big.txt,491520,4096,irregular,0.0000,1,495616,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.424064,/big.txt,172032,4096,irregular,0.0000,1,176128,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.4259179,/big.txt,1228800,4096,irregular,0.0000,1,1232896,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.42731,/big.txt,69632,4096,irregular,0.0000,1,73728,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.428664,/big.txt,1024000,4096,irregular,0.0000,1,1028096,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.4300952,/big.txt,360448,4096,irregular,0.0000,1,364544,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.431464,/big.txt,778240,4096,irregular,0.0000,1,782336,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.432883,/big.txt,245760,4096,irregular,0.0000,1,249856,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.434421,/big.txt,40960,4096,irregular,0.0000,1,45056,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.435773,/big.txt,1126400,4096,irregular,0.0000,1,1130496,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.437116,/big.txt,135168,4096,irregular,0.0000,1,139264,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.438447,/big.txt,655360,4096,irregular,0.0000,1,659456,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.439784,/big.txt,860160,4096,irregular,0.0000,1,864256,4096,1
144,144_baseline_random_run04,baseline,random,1773854736.44112,/big.txt,389120,4096,irregular,0.0000,1,393216,4096,1
