run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth,cache_hit,false_negative
82,082_none_random_run08,none,random,1778425809.8078449,/big.txt,20480,4096,unknown,0.0000,0.0000,0,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.810318,/big.txt,491520,4096,irregular,0.0000,0.0000,466944,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.812841,/big.txt,172032,4096,irregular,0.0000,0.0000,323584,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.815055,/big.txt,1228800,4096,irregular,0.0000,0.0000,1052672,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.8173206,/big.txt,69632,4096,irregular,0.0000,0.0000,1163264,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.8197038,/big.txt,1024000,4096,irregular,0.0000,0.0000,950272,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.822086,/big.txt,360448,4096,irregular,0.0000,0.0000,667648,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.8244815,/big.txt,778240,4096,irregular,0.0000,0.0000,413696,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.8265772,/big.txt,245760,4096,irregular,0.0000,0.0000,536576,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.828904,/big.txt,40960,4096,irregular,0.0000,0.0000,208896,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.8311474,/big.txt,1126400,4096,irregular,0.0000,0.0000,1081344,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.8334374,/big.txt,135168,4096,irregular,0.0000,0.0000,995328,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.8357136,/big.txt,655360,4096,irregular,0.0000,0.0000,516096,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.8380933,/big.txt,860160,4096,irregular,0.0000,0.0000,200704,0,,,1,0,0
82,082_none_random_run08,none,random,1778425809.840534,/big.txt,389120,4096,irregular,0.0000,0.0000,475136,0,,,1,0,0
